Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Автолампы,95246339-fd05-11eb-0a80-07420013bed4,Товар,1-015461,Лампа 12 В H1  55 Вт дальнего света Standart Xenite,В51672a,1007010,шт,"100,00","45,91",Лампа 12 В H1  55 Вт дальнего света Standart Xenite,"60,00",Китай,20,"ООО ""ТД ВОСХОД""","0,009",0,100,"2,5",2,"6,5",Carolite,51672a,1007010,1,1007010
КАТЕГОРИИ ТОВАРОВ/Автолампы,9a2f9e57-fd05-11eb-0a80-07420013c5b5,Товар,1-015097,Лампа 12 В  5 Вт без цоколя 10 шт. Диалуч 92121,В137144a,92121,компл,"70,00","43,90",Лампа 12 В  5 Вт без цоколя 10 шт. Диалуч 92121,"50,00",Венгрия,20,"ООО ""ТД ВОСХОД""","0,027","0,0001",43,11,5,"1,5",Диалуч,137144a,92121,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,ac7a61a5-fd05-11eb-0a80-07420013d4ee,Товар,1-015479,Лампа 12 В H1  55 Вт дальнего света Маяк 52120-82120UL,В4637a,52120,шт,"110,00","70,07",Лампа 12 В H1  55 Вт дальнего света Маяк 52120-82120UL,"80,00",Китай,20,"ООО ""ТД ВОСХОД""","0,005",0,43,"2,5","2,5",7,Маяк,4637a,52120,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,aca5281a-fd05-11eb-0a80-07420013d51f,Товар,1-015319,Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь Long Life 2 шт. Xenite,В53016a,1007112,компл,"140,00","78,30",Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь Long Life 2 шт. Xenite,"90,00",Китай,20,"ООО ""ТД ВОСХОД""","0,03","0,0005",72,14,9,4,Carolite,53016a,1007112,1,1007112
КАТЕГОРИИ ТОВАРОВ/Автолампы,b2443cc8-fd17-11eb-0a80-0742001adcb2,Товар,1-015284,Лампа 12 В 21 Вт 1-контактная металлический цоколь  Маяк 61213,В137533a,61213\10,компл,"30,00","15,83",Лампа 12 В 21 Вт 1-контактная металлический цоколь  Маяк 61213,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,1","0,0004",43,"13,5","5,5",5,Маяк,137533a,61213,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,ba10b7f6-fd05-11eb-0a80-07420013e0fd,Товар,1-015474,Лампа 12 В H1  55 Вт дальнего света блистер Маяк,В20347a,52120BL,шт,"90,00","61,19",Лампа 12 В H1  55 Вт дальнего света блистер Маяк,"70,00",Китай,20,"ООО ""ТД ВОСХОД""","0,005","0,0002",43,13,8,2,Маяк,20347a,52120BL,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,c6187a8c-144f-11ef-0a80-0e880002bd4f,Товар,1-039726,Лампа 12 В  5 Вт металлический цоколь габаритные огни 10 шт. ST,В545876a,ST3023,компл,"20,00","7,71",Лампа 12 В  5 Вт металлический цоколь габаритные огни 10 шт. ST,"10,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Support Technology,545876a,ST3023,1,ST3023
КАТЕГОРИИ ТОВАРОВ/Автолампы,c6f85397-144f-11ef-0a80-0e880002bd73,Товар,1-039730,Лампа 12 В 21 Вт 1-контактная металлический цоколь 10 шт. ST,В545324a,ST3016,компл,"200,00","138,55",Лампа 12 В 21 Вт 1-контактная металлический цоколь 10 шт. ST,"160,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Support Technology,545324a,ST3016,1,ST3016
КАТЕГОРИИ ТОВАРОВ/Автолампы,c76b9d20-144f-11ef-0a80-0e880002bd85,Товар,1-039732,Лампа 12 В 21/4 Вт 2х-контактная смещенный металлический цоколь 10 шт. ST,В545871a,ST3018,компл,"290,00","201,51",Лампа 12 В 21/4 Вт 2х-контактная смещенный металлический цоколь 10 шт. ST,"230,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Support Technology,545871a,ST3018,1,ST3018
КАТЕГОРИИ ТОВАРОВ/Автолампы,d21fe7c8-fd17-11eb-0a80-0742001ae20b,Товар,1-015371,Лампа 12 В 21/5 Вт 2х-контактная металлический цоколь 10 шт. Маяк 61215,В137137a,61215/10,компл,"30,00","16,33",Лампа 12 В 21/5 Вт 2х-контактная металлический цоколь 10 шт. Маяк 61215,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,09","0,0001",43,13,5,1,Маяк,137137a,61215,1,
